	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	38	0.703703703703704	2	0.0185185185185185
2	162	108	0.666666666666667	38	0.703703703703704	3	0.0277777777777778
3	162	108	0.666666666666667	40	0.740740740740741	3	0.0277777777777778
4	162	108	0.666666666666667	42	0.777777777777778	1	0.00925925925925926
5	162	108	0.666666666666667	42	0.777777777777778	3	0.0277777777777778
6	162	108	0.666666666666667	43	0.796296296296296	2	0.0185185185185185
7	162	108	0.666666666666667	48	0.888888888888889	3	0.0277777777777778
8	162	108	0.666666666666667	46	0.851851851851852	1	0.00925925925925926
9	162	108	0.666666666666667	42	0.777777777777778	1	0.00925925925925926
10	162	108	0.666666666666667	46	0.851851851851852	3	0.0277777777777778
