	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	43	0.796296296296296	0	0
2	162	108	0.666666666666667	43	0.796296296296296	1	0.00925925925925926
3	162	108	0.666666666666667	43	0.796296296296296	1	0.00925925925925926
4	162	108	0.666666666666667	45	0.833333333333333	0	0
5	162	108	0.666666666666667	42	0.777777777777778	0	0
6	162	108	0.666666666666667	39	0.722222222222222	2	0.0185185185185185
7	162	108	0.666666666666667	47	0.87037037037037	1	0.00925925925925926
8	162	108	0.666666666666667	47	0.87037037037037	0	0
9	162	108	0.666666666666667	40	0.740740740740741	2	0.0185185185185185
10	162	108	0.666666666666667	38	0.703703703703704	0	0
