	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	39	0.722222222222222	62	0.574074074074074
2	162	108	0.666666666666667	44	0.814814814814815	60	0.555555555555556
3	162	108	0.666666666666667	40	0.740740740740741	62	0.574074074074074
4	162	108	0.666666666666667	38	0.703703703703704	62	0.574074074074074
5	162	108	0.666666666666667	42	0.777777777777778	61	0.564814814814815
6	162	108	0.666666666666667	41	0.759259259259259	49	0.453703703703704
7	162	108	0.666666666666667	49	0.907407407407407	63	0.583333333333333
8	162	108	0.666666666666667	43	0.796296296296296	57	0.527777777777778
9	162	108	0.666666666666667	45	0.833333333333333	64	0.592592592592593
10	162	108	0.666666666666667	41	0.759259259259259	60	0.555555555555556
