	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	17	0.314814814814815	4	0.037037037037037
2	162	108	0.666666666666667	12	0.222222222222222	7	0.0648148148148148
3	162	108	0.666666666666667	9	0.166666666666667	3	0.0277777777777778
4	162	108	0.666666666666667	10	0.185185185185185	7	0.0648148148148148
5	162	108	0.666666666666667	5	0.0925925925925926	8	0.0740740740740741
6	162	108	0.666666666666667	10	0.185185185185185	6	0.0555555555555556
7	162	108	0.666666666666667	9	0.166666666666667	5	0.0462962962962963
8	162	108	0.666666666666667	8	0.148148148148148	8	0.0740740740740741
9	162	108	0.666666666666667	11	0.203703703703704	7	0.0648148148148148
10	162	108	0.666666666666667	10	0.185185185185185	5	0.0462962962962963
