	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	45	0.833333333333333	49	0.453703703703704
2	162	108	0.666666666666667	43	0.796296296296296	46	0.425925925925926
3	162	108	0.666666666666667	41	0.759259259259259	38	0.351851851851852
4	162	108	0.666666666666667	44	0.814814814814815	42	0.388888888888889
5	162	108	0.666666666666667	39	0.722222222222222	42	0.388888888888889
6	162	108	0.666666666666667	42	0.777777777777778	41	0.37962962962963
7	162	108	0.666666666666667	41	0.759259259259259	31	0.287037037037037
8	162	108	0.666666666666667	44	0.814814814814815	45	0.416666666666667
9	162	108	0.666666666666667	44	0.814814814814815	52	0.481481481481481
10	162	108	0.666666666666667	42	0.777777777777778	46	0.425925925925926
