	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	20	0.37037037037037	21	0.194444444444444
2	162	108	0.666666666666667	15	0.277777777777778	23	0.212962962962963
3	162	108	0.666666666666667	15	0.277777777777778	12	0.111111111111111
4	162	108	0.666666666666667	18	0.333333333333333	20	0.185185185185185
5	162	108	0.666666666666667	20	0.37037037037037	16	0.148148148148148
6	162	108	0.666666666666667	16	0.296296296296296	23	0.212962962962963
7	162	108	0.666666666666667	14	0.259259259259259	20	0.185185185185185
8	162	108	0.666666666666667	15	0.277777777777778	23	0.212962962962963
9	162	108	0.666666666666667	18	0.333333333333333	18	0.166666666666667
10	162	108	0.666666666666667	16	0.296296296296296	17	0.157407407407407
