	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	43	0.796296296296296	69	0.638888888888889
2	162	108	0.666666666666667	45	0.833333333333333	71	0.657407407407407
3	162	108	0.666666666666667	43	0.796296296296296	73	0.675925925925926
4	162	108	0.666666666666667	44	0.814814814814815	67	0.62037037037037
5	162	108	0.666666666666667	42	0.777777777777778	62	0.574074074074074
6	162	108	0.666666666666667	44	0.814814814814815	72	0.666666666666667
7	162	108	0.666666666666667	43	0.796296296296296	62	0.574074074074074
8	162	108	0.666666666666667	45	0.833333333333333	69	0.638888888888889
9	162	108	0.666666666666667	42	0.777777777777778	69	0.638888888888889
10	162	108	0.666666666666667	40	0.740740740740741	64	0.592592592592593
