	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	43	0.796296296296296	71	0.657407407407407
2	162	108	0.666666666666667	47	0.87037037037037	70	0.648148148148148
3	162	108	0.666666666666667	41	0.759259259259259	64	0.592592592592593
4	162	108	0.666666666666667	42	0.777777777777778	68	0.62962962962963
5	162	108	0.666666666666667	39	0.722222222222222	75	0.694444444444444
6	162	108	0.666666666666667	40	0.740740740740741	71	0.657407407407407
7	162	108	0.666666666666667	41	0.759259259259259	75	0.694444444444444
8	162	108	0.666666666666667	43	0.796296296296296	71	0.657407407407407
9	162	108	0.666666666666667	45	0.833333333333333	66	0.611111111111111
10	162	108	0.666666666666667	44	0.814814814814815	71	0.657407407407407
