	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	45	0.833333333333333	56	0.518518518518518
2	162	108	0.666666666666667	44	0.814814814814815	54	0.5
3	162	108	0.666666666666667	44	0.814814814814815	60	0.555555555555556
4	162	108	0.666666666666667	44	0.814814814814815	61	0.564814814814815
5	162	108	0.666666666666667	46	0.851851851851852	65	0.601851851851852
6	162	108	0.666666666666667	45	0.833333333333333	59	0.546296296296296
7	162	108	0.666666666666667	42	0.777777777777778	65	0.601851851851852
8	162	108	0.666666666666667	40	0.740740740740741	57	0.527777777777778
9	162	108	0.666666666666667	44	0.814814814814815	67	0.62037037037037
10	162	108	0.666666666666667	44	0.814814814814815	73	0.675925925925926
