	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	42	0.777777777777778	19	0.175925925925926
2	162	108	0.666666666666667	41	0.759259259259259	24	0.222222222222222
3	162	108	0.666666666666667	41	0.759259259259259	32	0.296296296296296
4	162	108	0.666666666666667	41	0.759259259259259	26	0.240740740740741
5	162	108	0.666666666666667	40	0.740740740740741	31	0.287037037037037
6	162	108	0.666666666666667	48	0.888888888888889	31	0.287037037037037
7	162	108	0.666666666666667	43	0.796296296296296	30	0.277777777777778
8	162	108	0.666666666666667	39	0.722222222222222	20	0.185185185185185
9	162	108	0.666666666666667	39	0.722222222222222	24	0.222222222222222
10	162	108	0.666666666666667	32	0.592592592592593	31	0.287037037037037
