	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	42	0.777777777777778	62	0.574074074074074
2	162	108	0.666666666666667	42	0.777777777777778	64	0.592592592592593
3	162	108	0.666666666666667	42	0.777777777777778	68	0.62962962962963
4	162	108	0.666666666666667	43	0.796296296296296	69	0.638888888888889
5	162	108	0.666666666666667	42	0.777777777777778	64	0.592592592592593
6	162	108	0.666666666666667	39	0.722222222222222	71	0.657407407407407
7	162	108	0.666666666666667	49	0.907407407407407	62	0.574074074074074
8	162	108	0.666666666666667	40	0.740740740740741	72	0.666666666666667
9	162	108	0.666666666666667	42	0.777777777777778	66	0.611111111111111
10	162	108	0.666666666666667	43	0.796296296296296	66	0.611111111111111
