	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	13	0.240740740740741	23	0.212962962962963
2	162	108	0.666666666666667	17	0.314814814814815	15	0.138888888888889
3	162	108	0.666666666666667	18	0.333333333333333	22	0.203703703703704
4	162	108	0.666666666666667	17	0.314814814814815	21	0.194444444444444
5	162	108	0.666666666666667	17	0.314814814814815	20	0.185185185185185
6	162	108	0.666666666666667	14	0.259259259259259	22	0.203703703703704
7	162	108	0.666666666666667	15	0.277777777777778	21	0.194444444444444
8	162	108	0.666666666666667	16	0.296296296296296	18	0.166666666666667
9	162	108	0.666666666666667	12	0.222222222222222	25	0.231481481481481
10	162	108	0.666666666666667	17	0.314814814814815	25	0.231481481481481
