	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	41	0.759259259259259	60	0.555555555555556
2	162	108	0.666666666666667	45	0.833333333333333	64	0.592592592592593
3	162	108	0.666666666666667	40	0.740740740740741	58	0.537037037037037
4	162	108	0.666666666666667	41	0.759259259259259	64	0.592592592592593
5	162	108	0.666666666666667	44	0.814814814814815	65	0.601851851851852
6	162	108	0.666666666666667	47	0.87037037037037	65	0.601851851851852
7	162	108	0.666666666666667	39	0.722222222222222	60	0.555555555555556
8	162	108	0.666666666666667	44	0.814814814814815	64	0.592592592592593
9	162	108	0.666666666666667	43	0.796296296296296	69	0.638888888888889
10	162	108	0.666666666666667	38	0.703703703703704	72	0.666666666666667
