	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	45	0.833333333333333	67	0.62037037037037
2	162	108	0.666666666666667	46	0.851851851851852	66	0.611111111111111
3	162	108	0.666666666666667	41	0.759259259259259	63	0.583333333333333
4	162	108	0.666666666666667	41	0.759259259259259	70	0.648148148148148
5	162	108	0.666666666666667	43	0.796296296296296	63	0.583333333333333
6	162	108	0.666666666666667	43	0.796296296296296	74	0.685185185185185
7	162	108	0.666666666666667	43	0.796296296296296	68	0.62962962962963
8	162	108	0.666666666666667	43	0.796296296296296	70	0.648148148148148
9	162	108	0.666666666666667	47	0.87037037037037	74	0.685185185185185
10	162	108	0.666666666666667	42	0.777777777777778	61	0.564814814814815
