	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	42	0.777777777777778	25	0.231481481481481
2	162	108	0.666666666666667	41	0.759259259259259	27	0.25
3	162	108	0.666666666666667	48	0.888888888888889	26	0.240740740740741
4	162	108	0.666666666666667	41	0.759259259259259	24	0.222222222222222
5	162	108	0.666666666666667	42	0.777777777777778	28	0.259259259259259
6	162	108	0.666666666666667	40	0.740740740740741	32	0.296296296296296
7	162	108	0.666666666666667	38	0.703703703703704	25	0.231481481481481
8	162	108	0.666666666666667	41	0.759259259259259	18	0.166666666666667
9	162	108	0.666666666666667	44	0.814814814814815	26	0.240740740740741
10	162	108	0.666666666666667	46	0.851851851851852	26	0.240740740740741
