	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	40	0.740740740740741	15	0.138888888888889
2	162	108	0.666666666666667	45	0.833333333333333	12	0.111111111111111
3	162	108	0.666666666666667	43	0.796296296296296	17	0.157407407407407
4	162	108	0.666666666666667	44	0.814814814814815	13	0.12037037037037
5	162	108	0.666666666666667	42	0.777777777777778	8	0.0740740740740741
6	162	108	0.666666666666667	47	0.87037037037037	19	0.175925925925926
7	162	108	0.666666666666667	40	0.740740740740741	18	0.166666666666667
8	162	108	0.666666666666667	45	0.833333333333333	17	0.157407407407407
9	162	108	0.666666666666667	43	0.796296296296296	12	0.111111111111111
10	162	108	0.666666666666667	49	0.907407407407407	18	0.166666666666667
