	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	39	0.722222222222222	60	0.555555555555556
2	162	108	0.666666666666667	47	0.87037037037037	63	0.583333333333333
3	162	108	0.666666666666667	47	0.87037037037037	54	0.5
4	162	108	0.666666666666667	46	0.851851851851852	59	0.546296296296296
5	162	108	0.666666666666667	42	0.777777777777778	58	0.537037037037037
6	162	108	0.666666666666667	46	0.851851851851852	59	0.546296296296296
7	162	108	0.666666666666667	44	0.814814814814815	63	0.583333333333333
8	162	108	0.666666666666667	44	0.814814814814815	58	0.537037037037037
9	162	108	0.666666666666667	36	0.666666666666667	60	0.555555555555556
10	162	108	0.666666666666667	44	0.814814814814815	47	0.435185185185185
