	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	43	0.796296296296296	7	0.0648148148148148
2	162	108	0.666666666666667	40	0.740740740740741	9	0.0833333333333333
3	162	108	0.666666666666667	43	0.796296296296296	8	0.0740740740740741
4	162	108	0.666666666666667	45	0.833333333333333	7	0.0648148148148148
5	162	108	0.666666666666667	46	0.851851851851852	3	0.0277777777777778
6	162	108	0.666666666666667	44	0.814814814814815	6	0.0555555555555556
7	162	108	0.666666666666667	46	0.851851851851852	9	0.0833333333333333
8	162	108	0.666666666666667	42	0.777777777777778	5	0.0462962962962963
9	162	108	0.666666666666667	42	0.777777777777778	0	0
10	162	108	0.666666666666667	40	0.740740740740741	8	0.0740740740740741
