	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	39	0.722222222222222	73	0.675925925925926
2	162	108	0.666666666666667	42	0.777777777777778	67	0.62037037037037
3	162	108	0.666666666666667	40	0.740740740740741	63	0.583333333333333
4	162	108	0.666666666666667	46	0.851851851851852	71	0.657407407407407
5	162	108	0.666666666666667	38	0.703703703703704	77	0.712962962962963
6	162	108	0.666666666666667	39	0.722222222222222	74	0.685185185185185
7	162	108	0.666666666666667	35	0.648148148148148	65	0.601851851851852
8	162	108	0.666666666666667	40	0.740740740740741	76	0.703703703703704
9	162	108	0.666666666666667	45	0.833333333333333	66	0.611111111111111
10	162	108	0.666666666666667	39	0.722222222222222	70	0.648148148148148
