	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	20	0.37037037037037	16	0.148148148148148
2	162	108	0.666666666666667	16	0.296296296296296	21	0.194444444444444
3	162	108	0.666666666666667	17	0.314814814814815	20	0.185185185185185
4	162	108	0.666666666666667	17	0.314814814814815	23	0.212962962962963
5	162	108	0.666666666666667	14	0.259259259259259	23	0.212962962962963
6	162	108	0.666666666666667	16	0.296296296296296	19	0.175925925925926
7	162	108	0.666666666666667	12	0.222222222222222	27	0.25
8	162	108	0.666666666666667	25	0.462962962962963	15	0.138888888888889
9	162	108	0.666666666666667	17	0.314814814814815	19	0.175925925925926
10	162	108	0.666666666666667	18	0.333333333333333	20	0.185185185185185
