	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	13	0.240740740740741	15	0.138888888888889
2	162	108	0.666666666666667	11	0.203703703703704	13	0.12037037037037
3	162	108	0.666666666666667	11	0.203703703703704	12	0.111111111111111
4	162	108	0.666666666666667	12	0.222222222222222	10	0.0925925925925926
5	162	108	0.666666666666667	13	0.240740740740741	10	0.0925925925925926
6	162	108	0.666666666666667	7	0.12962962962963	12	0.111111111111111
7	162	108	0.666666666666667	7	0.12962962962963	16	0.148148148148148
8	162	108	0.666666666666667	13	0.240740740740741	10	0.0925925925925926
9	162	108	0.666666666666667	12	0.222222222222222	9	0.0833333333333333
10	162	108	0.666666666666667	12	0.222222222222222	10	0.0925925925925926
