	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	23	0.425925925925926	27	0.25
2	162	108	0.666666666666667	14	0.259259259259259	27	0.25
3	162	108	0.666666666666667	18	0.333333333333333	27	0.25
4	162	108	0.666666666666667	20	0.37037037037037	28	0.259259259259259
5	162	108	0.666666666666667	16	0.296296296296296	31	0.287037037037037
6	162	108	0.666666666666667	17	0.314814814814815	30	0.277777777777778
7	162	108	0.666666666666667	20	0.37037037037037	26	0.240740740740741
8	162	108	0.666666666666667	13	0.240740740740741	34	0.314814814814815
9	162	108	0.666666666666667	18	0.333333333333333	26	0.240740740740741
10	162	108	0.666666666666667	19	0.351851851851852	23	0.212962962962963
