	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	16	0.296296296296296	25	0.231481481481481
2	162	108	0.666666666666667	21	0.388888888888889	28	0.259259259259259
3	162	108	0.666666666666667	19	0.351851851851852	21	0.194444444444444
4	162	108	0.666666666666667	22	0.407407407407407	29	0.268518518518519
5	162	108	0.666666666666667	11	0.203703703703704	34	0.314814814814815
6	162	108	0.666666666666667	19	0.351851851851852	34	0.314814814814815
7	162	108	0.666666666666667	22	0.407407407407407	24	0.222222222222222
8	162	108	0.666666666666667	22	0.407407407407407	28	0.259259259259259
9	162	108	0.666666666666667	17	0.314814814814815	30	0.277777777777778
10	162	108	0.666666666666667	19	0.351851851851852	29	0.268518518518519
