	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	44	0.814814814814815	74	0.685185185185185
2	162	108	0.666666666666667	38	0.703703703703704	64	0.592592592592593
3	162	108	0.666666666666667	44	0.814814814814815	71	0.657407407407407
4	162	108	0.666666666666667	42	0.777777777777778	75	0.694444444444444
5	162	108	0.666666666666667	43	0.796296296296296	74	0.685185185185185
6	162	108	0.666666666666667	49	0.907407407407407	67	0.62037037037037
7	162	108	0.666666666666667	41	0.759259259259259	67	0.62037037037037
8	162	108	0.666666666666667	33	0.611111111111111	65	0.601851851851852
9	162	108	0.666666666666667	46	0.851851851851852	69	0.638888888888889
10	162	108	0.666666666666667	41	0.759259259259259	70	0.648148148148148
