	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	47	0.87037037037037	66	0.611111111111111
2	162	108	0.666666666666667	46	0.851851851851852	67	0.62037037037037
3	162	108	0.666666666666667	35	0.648148148148148	66	0.611111111111111
4	162	108	0.666666666666667	36	0.666666666666667	76	0.703703703703704
5	162	108	0.666666666666667	43	0.796296296296296	69	0.638888888888889
6	162	108	0.666666666666667	40	0.740740740740741	75	0.694444444444444
7	162	108	0.666666666666667	42	0.777777777777778	69	0.638888888888889
8	162	108	0.666666666666667	41	0.759259259259259	68	0.62962962962963
9	162	108	0.666666666666667	37	0.685185185185185	66	0.611111111111111
10	162	108	0.666666666666667	43	0.796296296296296	74	0.685185185185185
