	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	42	0.777777777777778	80	0.740740740740741
2	162	108	0.666666666666667	39	0.722222222222222	72	0.666666666666667
3	162	108	0.666666666666667	45	0.833333333333333	73	0.675925925925926
4	162	108	0.666666666666667	38	0.703703703703704	74	0.685185185185185
5	162	108	0.666666666666667	43	0.796296296296296	77	0.712962962962963
6	162	108	0.666666666666667	42	0.777777777777778	81	0.75
7	162	108	0.666666666666667	43	0.796296296296296	71	0.657407407407407
8	162	108	0.666666666666667	42	0.777777777777778	76	0.703703703703704
9	162	108	0.666666666666667	42	0.777777777777778	75	0.694444444444444
10	162	108	0.666666666666667	41	0.759259259259259	73	0.675925925925926
