	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	19	0.351851851851852	30	0.277777777777778
2	162	108	0.666666666666667	14	0.259259259259259	29	0.268518518518519
3	162	108	0.666666666666667	12	0.222222222222222	30	0.277777777777778
4	162	108	0.666666666666667	17	0.314814814814815	28	0.259259259259259
5	162	108	0.666666666666667	21	0.388888888888889	29	0.268518518518519
6	162	108	0.666666666666667	17	0.314814814814815	31	0.287037037037037
7	162	108	0.666666666666667	20	0.37037037037037	28	0.259259259259259
8	162	108	0.666666666666667	18	0.333333333333333	24	0.222222222222222
9	162	108	0.666666666666667	16	0.296296296296296	29	0.268518518518519
10	162	108	0.666666666666667	13	0.240740740740741	31	0.287037037037037
